,index,brand_name,model_name,price,rating,processor_brand,processor_name,processor_core,processor_threads,ram,ram_type,hdd,ssd,gpu_brand,gpu_model,gpu_size,screen_size,scree_resolution,Touch_screen,os,warranty
141,143,DELL,G15,69490,67.0,AMD,RYZEN 5  6600H,HEXA CORE,12,8,DDR5,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
142,144,ASUS,TUF,53990,67.0,AMD,RYZEN 5  4600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,17.3, 1920 x 1080 ,0,WINDOWS 11,12
143,145,LENOVO,IDEAPAD,35398,57.0,AMD,RYZEN 3 3250U,DUAL CORE,4,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
144,146,ACER,ASPIRE,56990,69.0,INTEL,CORE I5 1240P,12 CORES,16,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
145,147,ASUS,TUF,73990,71.0,INTEL,CORE I5 12450H,OCTA CORE,12,8,DDR5,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
146,148,ASUS,VIVOBOOK,62990,72.0,AMD,RYZEN 7  5800H,OCTA CORE,16,16,DDR4,0,512,AMD,RADEON,,16.0, 1920 x 1200 ,0,WINDOWS 11,12
147,149,HP,PAVILION,71490,62.0,INTEL,CORE I5 1235U,10 CORES,12,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
148,150,APPLE,MACBOOK PRO,135990,45.0,APPLE,M2 CHIP,OCTA CORE,,8,,0,512,APPLE,APPLE GPU,,13.3, 2560 x 1600 ,0,MAC,12
149,151,DELL,INSPIRON,79990,73.0,INTEL,CORE I5 12500H,12 CORES,16,16,DDR5,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
150,152,ASUS,VIVOBOOK,72990,65.0,INTEL,CORE I5 12500H,12 CORES,16,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
151,153,LENOVO,IDEAPAD,26716,51.0,INTEL,N4020,DUAL CORE,2,8,DDR4,0,256,INTEL,UHD,,15.6, 1366 x 768 ,0,WINDOWS 11,12
152,154,HP,PAVILION,69990,65.0,INTEL,CORE I5 1240P,12 CORES,16,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
153,155,HP,PAVILION,63990,68.0,AMD,RYZEN 5  5600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
154,156,HP,PAVILION,52990,60.0,AMD,RYZEN 5 5625U,HEXA CORE,12,8,DDR4,0,512,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
155,157,ASUS,VIVOBOOK,29990,51.0,INTEL,N6000,QUAD CORE,4,4,LPDDR4X,128,,INTEL,UHD,,13.3, 1920 x 1080 ,1,WINDOWS 11,12
156,158,LENOVO,IDEAPAD,62990,73.0,AMD,RYZEN 5  5600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
157,159,ASUS,VIVOBOOK,34990,50.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
158,160,ASUS,ZENBOOK,299990,80.0,INTEL,CORE I7 1250U,10 CORES,12,16,LPDDR5,0,1024,INTEL,INTEGRATED IRIS,,17.3, 2560 x 1920 ,1,WINDOWS 11,12
159,161,APPLE,MACBOOK PRO,171594,53.0,APPLE,M1 PRO,OCTA CORE,,16,,0,512,APPLE,APPLE GPU,,14.2, 3024 x 1964 ,0,MAC,12
160,162,LENOVO,V,30990,47.0,INTEL,CORE I3 1115G4,DUAL CORE,4,4,DDR4,0,256,INTEL,UHD,,15.0, 1920 x 1080 ,0,DOS,12
161,163,INFINIX,INBOOK,30490,44.0,INTEL,CORE I3 1005G1,DUAL CORE,4,8,LPDDR4X,0,256,INTEL,UHD,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
162,164,DELL,LATITUDE,104800,60.0,INTEL,CORE I5 1135G7,QUAD CORE,8,8,DDR4,0,256,INTEL,INTEGRATED IRIS,,14.0, 1920 x 1080 ,0,WINDOWS 10,12
163,165,XIAOMI,MI NOTEBOOK ULTRA,56999,66.0,INTEL,CORE I5 11300H,QUAD CORE,8,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 3200 x 2000 ,0,WINDOWS 10,12
164,166,DELL,INSPIRON,65990,66.0,INTEL,CORE I5 1135G7,QUAD CORE,8,8,DDR4,1024,256,NVIDIA,GEFORCE MX,2,15.6, 1920 x 1080 ,0,WINDOWS 10,
165,167,HP,PAVILION,60490,66.0,AMD,RYZEN 5  5600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 10,12
166,168,XIAOMI,NOTEBOOK PRO,53999,62.0,INTEL,CORE I5 11300H,QUAD CORE,8,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,14.0, 2560 x 1600 ,0,WINDOWS 10,12
167,169,MICROSOFT,SURFACE,69500,55.0,INTEL,CORE I5 1035G1,QUAD CORE,8,8,DDR4,0,256,INTEL,UHD,,12.4, 1536 x 1024 ,1,WINDOWS 10,12
168,170,APPLE,MACBOOK PRO,201498,82.0,INTEL,CORE I9,OCTA CORE,,32,DDR4,0,2,RADEON,RADEON,4,16.0, 3072 x 1920 ,0,MAC CATALINA,12
169,171,APPLE,MACBOOK PRO,172775,73.0,INTEL,CORE I7,HEXA CORE,,16,DDR4,0,1024,RADEON,RADEON,4,16.0, 3072 x 1920 ,0,MAC CATALINA,12
170,172,DELL,XPS,158900,69.0,INTEL,CORE I5 1230U,10 CORES,12,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,13.0, 1920 x 1080 ,1,WINDOWS 11,12
171,173,HP,SPECTRE,130989,76.0,INTEL,CORE I7 1255U,10 CORES,12,16,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,13.5, 3000 x 2000 ,1,WINDOWS 11,12
172,174,ASUS,ROG ZEPHYRUS,429990,0.0,AMD,RYZEN 9  7945HX,16 CORES,32,32,DDR5,0,2,NVIDIA,GEFORCE RTX,16,16.0, 3840 x 2400 ,0,WINDOWS 11,12
173,175,DELL,VOSTRO,94043,73.0,INTEL,CORE I7 1260P,12 CORES,16,16,DDR4,0,512,NVIDIA,GEFORCE MX,2,16.0, 1920 x 1080 ,0,WINDOWS 11,12
174,176,HP,G8,31990,60.0,AMD,RYZEN 3 3250U,DUAL CORE,4,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
175,177,ASUS,VIVOBOOK,56990,61.0,AMD,RYZEN 5 7520U,QUAD CORE,8,16,LPDDR5,0,512,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
176,178,ASUS,ROG ZEPHYRUS,299990,0.0,INTEL,CORE I9 13900H,14 CORES,20,32,DDR5,0,1024,NVIDIA,GEFORCE RTX,12,16.0, 2560 x 1600 ,0,WINDOWS 11,12
177,179,MSI,MODERN,45990,59.0,INTEL,CORE I5 1155G7,QUAD CORE,8,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
178,180,MSI,MODERN,45990,61.0,AMD,RYZEN 5 7530U,HEXA CORE,12,8,DDR4,0,512,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
179,181,ACER,EXTENSA,36990,50.0,INTEL,N305,OCTA CORE,8,8,LPDDR5,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
180,182,ASUS,VIVOBOOK,39950,54.0,AMD,RYZEN 3 7320U,QUAD CORE,8,8,LPDDR5,0,512,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
181,183,ASUS,ROG STRIX,279990,82.0,INTEL,CORE I9 13980HX,24 CORES,32,32,DDR5,0,1024,NVIDIA,GEFORCE RTX,12,18.0, 1920 x 1200 ,0,WINDOWS 11,12
182,184,HP,14S,60990,63.0,INTEL,CORE I5 1240P,12 CORES,16,8,DDR4,0,1024,INTEL,INTEGRATED IRIS,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
183,185,ASUS,VIVOBOOK,68990,69.0,AMD,RYZEN 5  5600H,HEXA CORE,12,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
184,186,ASUS,VIVOBOOK,65990,66.0,AMD,RYZEN 5 7530U,HEXA CORE,12,16,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
185,187,ASUS,VIVOBOOK,73990,69.0,AMD,RYZEN 7 7730U,OCTA CORE,16,16,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
186,188,ASUS,VIVOBOOK,39990,59.0,AMD,RYZEN 3 7320U,QUAD CORE,8,8,LPDDR5,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
187,189,HP,PAVILION,78490,68.0,AMD,RYZEN 7 7735U,OCTA CORE,16,16,LPDDR5,0,512,AMD,RADEON,,13.3, 1920 x 1200 ,0,WINDOWS 11,12
188,190,HP,PAVILION,68490,67.0,AMD,RYZEN 5 7535U,HEXA CORE,12,16,LPDDR5,0,512,AMD,RADEON,,13.3, 1920 x 1200 ,0,WINDOWS 11,12
189,191,ACER,EXTENSA,44990,55.0,AMD,RYZEN 5 7520U,QUAD CORE,8,8,LPDDR5,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
190,192,LENOVO,THINKPAD,48990,65.0,INTEL,CORE I3 1215U,HEXA CORE,8,16,DDR4,0,512,INTEL,UHD,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
191,193,ASUS,ZENBOOK,104990,72.0,AMD,RYZEN 7 7730U,OCTA CORE,16,16,LPDDR4X,0,1024,AMD,RADEON,,14.0, 2880 x 1800 ,0,WINDOWS 11,12
192,194,SAMSUNG,GALAXY BOOK,74990,57.0,INTEL,CORE I5 1335U,10 CORES,12,8,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
193,195,SAMSUNG,GALAXY BOOK,89990,61.0,INTEL,CORE I7 1355U,10 CORES,12,16,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
194,196,SAMSUNG,GALAXY BOOK,79990,60.0,INTEL,CORE I5 1335U,10 CORES,12,16,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
195,197,LENOVO,IDEAPAD,33490,57.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,256,INTEL,INTEGRATED INTEGRATED,,15.6, 1920 x 1080 ,0,WINDOWS 11,24
196,198,LENOVO,YOGA,69990,63.0,INTEL,CORE I5 11320H,QUAD CORE,8,16,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,14.0, 2880 x 1800 ,0,WINDOWS 11,36
197,199,LENOVO,LEGION,82990,75.0,AMD,RYZEN 7 5800H,OCTA CORE,16,16,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
198,200,ASUS,VIVOBOOK,59990,59.0,INTEL,CORE I5 1240P,12 CORES,16,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
199,201,MSI,KATANA,99990,71.0,INTEL,CORE I7 13620H,10 CORES,16,16,DDR5,0,512,NVIDIA,GEFORCE RTX,6,17.3, 1920 x 1080 ,0,WINDOWS 11,24
200,202,MSI,VECTOR,219990,87.0,INTEL,CORE I7 13700H,14 CORES,20,32,DDR5,0,1024,NVIDIA,GEFORCE RTX,8,17.3, 2560 x 1440 ,0,WINDOWS 11,24
201,203,DELL,INSPIRON,58590,63.0,INTEL,CORE I5 1235U,10 CORES,12,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
202,204,LENOVO,IDEAPAD,40990,56.0,AMD,7320U,QUAD CORE,8,8,LPDDR5,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
203,205,SAMSUNG,GALAXY BOOK,149990,73.0,INTEL,CORE I7 1360P,12 CORES,16,16,LPDDR5,0,512,‎INTEL,INTEGRATED IRIS,,16.0, 2880 x 1800 ,0,WINDOWS 11,12
204,206,SAMSUNG,GALAXY BOOK,131990,71.0,INTEL,CORE I5 1340P,12 CORES,16,16,LPDDR5,0,512,‎INTEL,INTEGRATED IRIS,,14.0, 2880 x 1800 ,0,WINDOWS 11,12
205,207,SAMSUNG,GALAXY BOOK,155990,74.0,INTEL,CORE I7 1360P,12 CORES,16,16,LPDDR5,0,1024,‎INTEL,INTEGRATED IRIS,,14.0, 2880 x 1800 ,0,WINDOWS 11,12
206,208,SAMSUNG,GALAXY BOOK,123089,71.0,INTEL,CORE I5 1340P,12 CORES,16,16,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,1,WINDOWS 11,12
207,209,SAMSUNG,GALAXY BOOK,163990,81.0,INTEL,CORE I7 1360P,12 CORES,16,16,DDR5,0,512,INTEL,INTEGRATED IRIS,,16.0, 2880 x 1800 ,1,WINDOWS 11,12
208,210,ASUS,VIVOBOOK,56990,61.0,INTEL,CORE I7 1165G7,QUAD CORE,8,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
209,211,ASUS,VIVOBOOK,37990,51.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
210,212,HP,14S,41990,61.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,512,INTEL,UHD,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
211,213,SAMSUNG,GALAXY BOOK,72990,63.0,INTEL,CORE I7 1255U,10 CORES,12,16,LPDDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
212,214,LENOVO,V,35990,62.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
213,215,MSI,MODERN,41990,61.0,INTEL,CORE I3 1215U,HEXA CORE,8,8,DDR4,0,512,INTEL,UHD,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
214,216,HONOR,MAGICBOOK,43990,62.0,INTEL,CORE I5 1135G7,QUAD CORE,8,8,DDR4,0,512,‎INTEL,INTEGRATED IRIS,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
215,217,CHUWI,COREBOOK,33990,54.0,INTEL,‎CORE I3 1215U,HEXA CORE,8,16,DDR4,0,512,INTEL,UHD,,14.0, 2160 x 1440 ,0,WINDOWS 11,12
216,218,ASUS,VIVOBOOK,74500,67.0,AMD,RYZEN 5 5600H,HEXA CORE,12,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
217,219,DELL,VOSTRO,55990,59.0,INTEL,CORE I5 1235U,10 CORES,12,8,DDR4,0,512,INTEL,UHD,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
218,220,DELL,VOSTRO,41990,56.0,INTEL,CORE I3 1215U,HEXA CORE,8,8,DDR4,0,512,INTEL,UHD,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
219,221,ASUS,VIVOBOOK,40990,55.0,INTEL,CORE I3 1220P,10 CORES,12,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
220,222,ASUS,VIVOBOOK,85990,71.0,INTEL,CORE I9 11900H,OCTA CORE,16,16,,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
221,223,DELL,INSPIRON,103500,69.0,INTEL,CORE I7 1255U,10 CORES,12,16,DDR4,0,512,NVIDIA,GEFORCE MX,2,16.0, 1920 x 1080 ,0,WINDOWS 11,12
222,224,HP,PAVILION,66990,65.0,INTEL,CORE I5 1235U,10 CORES,12,16,DDR4,0,512,INTEL,UHD,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
223,225,LENOVO,IDEAPAD,57490,63.0,INTEL,CORE I5 1135G7,QUAD CORE,8,16,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
224,226,ASUS,VIVOBOOK,54990,68.0,AMD,RYZEN 5 5600H,HEXA CORE,12,16,DDR4,0,512,AMD,RADEON,,16.0, 1200 x 1920 ,0,WINDOWS 11,12
225,227,ASUS,VIVOBOOK,53990,62.0,INTEL,CORE I5 1235U,10 CORES,12,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
226,228,LENOVO,IDEAPAD,57300,69.0,INTEL,CORE I5 11300H,QUAD CORE,8,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
227,229,DELL,G15,177990,72.0,INTEL,CORE I9 12900H,14 CORES,20,16,LPDDR5,0,1024,NVIDIA,GEFORCE RTX,8,15.6, 2560 x 1440 ,0,WINDOWS 11,12
228,230,DELL,G15,138990,71.0,INTEL,CORE I9 12900H,14 CORES,20,16,LPDDR5,0,1024,NVIDIA,GEFORCE RTX,8,15.6, 2560 x 1440 ,0,WINDOWS 11,12
229,231,ASUS,VIVOBOOK,47990,56.0,INTEL,CORE I3 1215U,HEXA CORE,8,8,LPDDR4,0,512,INTEL,INTEGRATED IRIS,,14.0, 2880 x 1800 ,0,WINDOWS 11,12
230,232,ASUS,VIVOBOOK,65990,61.0,INTEL,CORE I5 1235U,10 CORES,12,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
231,233,HP,PAVILION,74499,56.0,INTEL,CORE I5 1235U,10 CORES,12,16,DDR4,0,512,NVIDIA,GEFORCE MX,2,15.6, 1920 x 1080 ,0,WINDOWS 11,12
232,234,MICROSOFT,SURFACE,113199,51.0,INTEL,CORE I5 1235U,10 CORES,12,8,LPDDR5,0,256,INTEL,INTEGRATED IRIS,,13.0, 2880 x 1920 ,1,WINDOWS 11,12
233,235,HONOR,MAGICBOOK,40990,59.0,AMD,RYZEN 5  5500U,HEXA CORE,12,16,DDR4,0,512,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
234,236,HP,VICTUS,76990,69.0,INTEL,CORE I5 12450H,OCTA CORE,12,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
235,237,LENOVO,IDEAPAD,74990,73.0,INTEL,CORE I5 12450H,OCTA CORE,12,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
236,238,HP,G8,30100,56.0,AMD,RYZEN 3  5300U,QUAD CORE,8,8,DDR4,0,512,AMD,RADEON,,14.0, 1366 x 768 ,0,DOS,12
237,239,LENOVO,IDEAPAD,74990,60.0,INTEL,CORE I5 1235U,10 CORES,12,16,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,14.0, 1920 x 1200 ,1,WINDOWS 11,12
238,240,HONOR,MAGICBOOK,38990,53.0,AMD,RYZEN 5  5500U,HEXA CORE,12,8,DDR4,0,512,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
239,241,HP,CHROMEBOOK,20990,44.0,INTEL,N4500,DUAL CORE,2,4,LPDDR4,64,,INTEL,UHD,,14.0, 1366 x 768 ,1,CHROME,12
240,242,ASUS,TUF,87990,71.0,AMD,RYZEN 7  5800H,OCTA CORE,16,16,DDR4,0,512,NVIDIA,GEFORCE RTX,6,15.6, 1920 x 1080 ,0,WINDOWS 11,12
241,243,ASUS,VIVOBOOK,43990,63.0,INTEL,CORE I3 1220P,10 CORES,12,8,DDR4,0,512,INTEL,UHD,,14.0, 1920 x 1080 ,1,WINDOWS 11,12
242,244,HONOR,MAGICBOOK,52999,63.0,INTEL,CORE I5 1235U,10 CORES,12,16,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,16.0, 1920 x 1200 ,0,WINDOWS 11,12
243,245,HP,ENVY,80990,65.0,INTEL,CORE I5 1230U,10 CORES,12,8,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,13.3, 1920 x 1080 ,1,WINDOWS 11,12
244,246,MSI,KATANA,68990,67.0,INTEL,CORE I5 12500H,12 CORES,16,8,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,24
245,247,MSI,KATANA,75990,76.0,INTEL,CORE I5 12450H,OCTA CORE,12,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,24
246,248,MSI,CROSSHAIR,134900,81.0,INTEL,CORE I7 12700H,14 CORES,20,16,DDR4,0,1024,NVIDIA,GEFORCE RTX,8,15.6, 2560 x 1440 ,0,WINDOWS 11,24
247,249,MSI,PULSE,114990,78.0,INTEL,CORE I9 12900H,14 CORES,20,16,DDR4,0,1024,NVIDIA,GEFORCE RTX,6,15.6, 2560 x 1440 ,0,WINDOWS 11,24
248,250,LENOVO,V,39590,62.0,AMD,RYZEN 3 5300U,QUAD CORE,8,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
249,251,LENOVO,IDEAPAD,74990,75.0,INTEL,CORE I5 12450H,OCTA CORE,12,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
250,252,LENOVO,LEGION,104990,75.0,AMD,RYZEN 7  5800H,OCTA CORE,16,16,DDR4,0,512,NVIDIA,GEFORCE RTX,6,15.6, 1920 x 1080 ,0,WINDOWS 11,12
251,253,DELL,INSPIRON,54490,68.0,AMD,RYZEN 5 5625U,HEXA CORE,12,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
252,254,ACER,EXTENSA,33990,50.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
253,255,ACER,NITRO,62540,69.0,AMD,RYZEN 5  5600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
254,256,XIAOMI,NOTEBOOK PRO,64999,69.0,INTEL,CORE I5 12450H,OCTA CORE,12,16,LPDDR5,0,512,INTEL,UHD,,14.0, 2560 x 1600 ,0,WINDOWS 11,12
255,257,XIAOMI,NOTEBOOK PRO,71999,73.0,INTEL,CORE I5 12450H,OCTA CORE,12,16,LPDDR5,0,512,NVIDIA,GEFORCE MX,2,14.0, 2560 x 1600 ,0,WINDOWS 11,12
256,258,HP,PAVILION,73490,68.0,INTEL,CORE I5 1235U,10 CORES,12,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,14.0, 1920 x 1080 ,1,WINDOWS 11,12
257,259,HP,14S,40990,54.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,512,INTEL,UHD,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
258,260,LENOVO,IDEAPAD,55990,69.0,AMD,RYZEN 5  5600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
259,261,HP,VICTUS,79999,71.0,AMD,RYZEN 7 5800H,OCTA CORE,16,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,16.1, 1920 x 1080 ,0,WINDOWS 11,12
260,262,ACER,NITRO,81990,72.0,INTEL,CORE I5 12500H,OCTA CORE,16,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
261,263,ASUS,ZENBOOK,149990,85.0,INTEL,CORE I9 12900H,14 CORES,20,32,LPDDR5,0,1024,NVIDIA,GEFORCE RTX,4,14.5, 2880 x 1800 ,1,WINDOWS 11,12
262,264,ASUS,ZENBOOK,129990,81.0,INTEL,CORE I7 12700H,14 CORES,20,16,LPDDR5,0,1024,NVIDIA,GEFORCE RTX,4,14.5, 2880 x 1800 ,1,WINDOWS 11,12
263,265,ASUS,TUF,112990,81.0,AMD,RYZEN 7 6800H,OCTA CORE,16,16,DDR5,0,1024,NVIDIA,GEFORCE RTX,6,15.6, 1920 x 1080 ,0,WINDOWS 11,12
264,266,HP,VICTUS,89490,63.0,INTEL,CORE I7 12650H,10 CORES,16,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
265,267,LENOVO,IDEAPAD,50990,59.0,INTEL,CORE I5 1135G7,QUAD CORE,8,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
266,268,LENOVO,IDEAPAD,74990,74.0,INTEL,CORE I5 12450H,OCTA CORE,12,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
267,269,ACER,ASPIRE,41990,54.0,INTEL,CORE I3 1215U,HEXA CORE,8,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
268,270,LENOVO,IDEAPAD,53990,69.0,AMD,RYZEN 5  5600H,HEXA CORE,12,8,DDR4,1024,256,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,
269,271,ACER,EXTENSA,42990,59.0,INTEL,CORE I5 1135G7,QUAD CORE,8,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
270,272,LENOVO,IDEAPAD,28490,49.0,INTEL,N4020,DUAL CORE,2,8,DDR4,0,256,INTEL,UHD,,15.6, 1366 x 768 ,0,WINDOWS 11,12
271,273,HP,PAVILION,59490,59.0,INTEL,CORE I5 1235U,10 CORES,12,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
272,274,LENOVO,IDEAPAD,63900,69.0,AMD,RYZEN 5  5500U,HEXA CORE,12,16,DDR4,0,512,AMD,RADEON,,14.0, 1920 x 1200 ,1,WINDOWS 11,12
273,275,LENOVO,IDEAPAD,38650,45.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
274,276,ASUS,VIVOBOOK,71960,68.0,AMD,RYZEN 7  4800H,OCTA CORE,16,16,DDR4,0,512,NVIDIA,GEFORCE GTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
275,277,ACER,ASPIRE,61990,69.0,INTEL,CORE I5 1240P,12 CORES,16,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
